pos,Team,Player,Rating,Career Best Rating
29,Scotland,Brandon McMullen,111,119 v Netherlands at Netherlands 2025
30,Pakistan,Faheem Ashraf,110,110 v South Africa at Lahore 2025
31,Sri Lanka,Charith Asalanka,109,109 v India at Dubai 2025
32,Scotland,Michael Leask,108,114 v Nepal at Glasgow 2025
33,England,Sam Curran,106,111 v New Zealand at Christchurch 2025
34,Ireland,Curtis Campher,106,128 v Netherlands at Netherlands 2024
35,New Zealand,James Neesham,100,113 v UAE at Dubai 2023
36,South Africa,Marco Jansen,100,139 v India at Johannesburg 2024
37,India,Washington Sundar,94,105 v Bangladesh at Hyderabad 2024
38,Pakistan,Shadab Khan,92,199 v Afghanistan at Sharjah 2023
39,Australia,Mitchell Marsh,90,158 v Bangladesh at Mirpur 2021
40,West Indies,Akeal Hosein,90,93 v Nepal at Sharjah 2025
41,Oman,Aqib Ilyas,88,138 v Canada at King City 2024
42,Netherlands,Bas de Leede,87,136 v Nepal at Dallas 2024
43,Bangladesh,Mahedi Hasan,86,108 v Afghanistan at Sharjah 2022
44,Nepal,Rohit Paudel,86,90 v Kuwait at Oman 2025
45,USA,Harmeet Singh,85,106 v Namibia at Namibia 2024
46,Australia,Aaron Hardie,82,108 v West Indies at St Kitts 2025
47,Zimbabwe,Ryan Burl,77,161 v Ireland at Bready 2021
48,South Africa,George Linde,77,98 v Pakistan at Centurion 2021
49,Nepal,Gulshan Jha,77,91 v USA at Dallas 2024
50,Afghanistan,Gulbadin Naib,75,101 v Bangladesh at St. Vincent 2024
51,Namibia,Jan Nicol Loftie-Eaton,74,78 v Zimbabwe at Harare 2025
52,Papua New Guinea,Sese Bau,72,78 v Nepal at Hong Kong 2024
53,Bangladesh,Rishad Hossain,72,91 v India at Gwalior 2024
54,Papua New Guinea,Assad Vala,71,141 v Bangladesh at Oman 2021
55,South Africa,Corbin Bosch,71,71 v Pakistan at Lahore 2025
56,Netherlands,Roelof van der Merwe,70,119 v Papua New Guinea at Dubai 2019
57,Pakistan,Shaheen Afridi,70,73 v India at Dubai 2025
58,Ireland,Harry Tector,70,71 v Bangladesh at Chittagong 2023
59,Scotland,Chris Greaves,69,79 v West Indies at Hobart 2022
60,Zimbabwe,Sean Williams,67,232 v Nepal at Singapore 2019
61,Oman,Zeeshan Maqsood,65,177 v Canada at Oman 2022
62,Netherlands,Michael Levitt,64,71 v Guernsey at Netherlands 2025
63,Pakistan,Salman Agha,63,63 v South Africa at Lahore 2025
64,Bangladesh,Tanzim Hasan Sakib,62,63 v West Indies at Chittagong 2025
65,Scotland,Richie Berrington,61,209 v Ireland at Malahide 2019
66,New Zealand,Glenn Phillips,61,85 v Sri Lanka at Nelson 2025
67,Bangladesh,Mehidy Hasan Miraz,60,92 v Sri Lanka at Dambulla 2025
68,New Zealand,Rachin Ravindra,59,65 v South Africa at Harare 2025
69,West Indies,Gudakesh Motie,59,68 v Pakistan at Lauderhill 2025
70,Scotland,Mark Watt,57,57 v Jersey at Netherlands 2025
71,Jersey,Nick Greenwood,57,57 v Scotland at Netherlands 2025
72,Zimbabwe,Brian Bennett,57,61 v Uganda at Harare 2025
73,West Indies,Rovman Powell,55,66 v England at Southampton 2025
74,Afghanistan,Karim Janat,55,124 v India at Abu Dhabi 2021
75,Pakistan,Abbas Afridi,55,83 v Bangladesh at Mirpur 2025
76,New Zealand,Zakary Foulkes,55,63 v Zimbabwe at Harare 2025
77,Sri Lanka,Kamindu Mendis,54,58 v Zimbabwe at Harare 2025
78,Jersey,Benjamin Ward,54,60 v Ireland at Edinburgh 2023
79,Canada,Saad Bin Zafar,54,65 v Namibia at Namibia 2025
80,Canada,Harsh Thaker,53,65 v Bermuda at King City 2025
81,Bangladesh,Nasum Ahmed,53,61 v West Indies at Chittagong 2025
82,UAE,Basil Hameed,52,113 v USA at Namibia 2024
83,Namibia,Ruben Trumpelmann,51,53 v Nepal at Kirtipur 2024
84,Uganda,Alpesh Ramjani,51,56 v Zimbabwe at Harare 2025
85,USA,Milind Kumar,51,51 v Canada at Cayman Islands 2025
86,Qatar,Muhammad Asim,51,61 v Saudi Arabia at Doha 2025
87,Namibia,Jan Frylinck,50,112 v Nepal at Kirtipur 2024
88,Nepal,Kushal Malla,50,112 v Qatar at Oman 2024
89,Ireland,Paul Stirling,49,217 v UAE at Sylhet 2014
90,Netherlands,Max O'Dowd,48,50 v Oman at Oman 2024
91,USA,Steven Taylor,48,58 v South Africa at Antigua 2024
92,Oman,Shakeel Ahmed,47,56 v UAE at Abu Dhabi 2025
93,England,Jacob Bethell,47,51 v West Indies at Southampton 2025
94,New Zealand,Daryl Mitchell,46,54 v Sri Lanka at Auckland 2023
95,Nepal,Karan KC,45,57 v USA at Dallas 2024
96,Netherlands,Aryan Dutt,45,45 v Bangladesh at Sylhet 2025
97,Hong Kong,Yasim Murtaza,44,72 v Qatar at Doha 2024
98,India,Tilak Varma,44,46 v Australia at Canberra 2025
99,Bangladesh,Mahmudullah,43,186 v West Indies at Mirpur 2018
100,Oman,Aamir Kaleem,43,87 v Canada at Abu Dhabi 2019
